單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
about,關於；大約；在…周圍；即將,5,入門,一般專業,"preposition, adverb","preposition: about
adverb: about",,"The meeting is about the new marketing strategy.
這次會議是關於新的行銷策略。"
above,在...上方；高於；超過（數量、程度）；優於；上述的；在上方,5,入門,一般專業,"preposition, adverb, adjective, noun","preposition: above
adverb: above
adjective: above
noun: above",,"The temperature is expected to rise above 30 degrees Celsius today.
今天氣溫預計會升至攝氏30度以上。"
abramson,艾布拉姆森 (Abramson) 通常指一家律師事務所或其合夥人，在商務情境中，可能涉及法律諮詢、合同審閱等服務。,1,精熟,法務合規與安全,noun,"noun: abramson, Abramsons",absent 缺席,"Our company retained Abramson & Associates to review the merger agreement.
我們聘請了艾布拉姆森律師事務所來審閱併購協議。"
abridgment,簡略版；縮寫版（通常指書籍、文件等內容被縮短後的版本）,2,進階,辦公日常,noun,"noun: abridgment, abridgments",an abridgment of the original contract 原始合約的節本,"The editor provided an abridgment of the lengthy report for the executive summary.
編輯為執行摘要提供了這份冗長報告的簡略版。"
abroad,在國外；在海外,5,基礎,辦公日常,"adverb, preposition",adverb: abroad,,"The company is expanding its operations abroad.
該公司正在海外擴展業務。"
abruptly,突然地；驟然地,3,中階,辦公日常,adverb,adverb: abruptly,,"The meeting was abruptly canceled due to unforeseen circumstances.
由於突發狀況，會議突然被取消。"
abs,絕對值；總數,1,精熟,旅遊與交通,noun,noun: abs,"tone your abs 鍛鍊腹肌
abs routine 腹肌訓練程序","The company reported a significant increase in absolute sales figures for the quarter.
該公司報告了本季的絕對銷售額顯著增加。"
absence,缺席；不在場,4,中階,人力資源,noun,"noun: absence, absences","frequent absence 頻繁缺席
absence from work 曠職","Due to his absence from the meeting, Mr. Lee missed the crucial decision.
由於李先生缺席會議，他錯過了重要的決策。"
absent,缺席的；不在場的；缺勤的,5,基礎,辦公日常,"adjective, adverb","adjective: absent, more absent, most absent
adverb: absent","present 出席
absent oneself from work 擅自缺勤","The employee was absent from the meeting due to a family emergency.
這位員工因家裡突發狀況缺席會議。"
absolute,絕對的；完全的；無可爭議的,4,中階,辦公日常,"adjective, adverb","adjective: absolute, more absolute, most absolute
adverb: absolute",,"The company has an absolute commitment to providing high-quality products.
公司對提供高品質產品有絕對的承諾。"
absolutely,完全地；絕對地，表示肯定或無疑。,5,基礎,溝通互動,adverb,adverb: absolutely,,"I absolutely agree with your proposal to streamline the workflow.
我完全同意你簡化工作流程的建議。"
absorb,吸收；接收（資訊、知識、衝擊等）；（材料）吸收（液體、熱量等）,4,中階,辦公日常,verb,"verb: absorb, absorbs, absorbing, absorbed",The company decided to absorb the shipping costs 公司決定自行負擔運費,"The company needs to absorb the new regulations into its operational procedures.
公司需要將新的法規納入其營運程序。"
absorbing,引人入勝的；吸引人的；吸收的,2,進階,辦公日常,adjective,"adjective: absorbing, more absorbing, most absorbing","absorbing task 引人入勝的任務
absorbing book 令人著迷的書","The training seminar was so absorbing that many participants stayed late to continue learning.
這項訓練課程非常引人入勝，許多參與者為了繼續學習而留到很晚。"
absorption,吸收；全神貫注；併購,3,進階,金融與會計,noun,"noun: absorption, absorptions
verb: absorb, absorbs, absorbed, absorbing
adjective: absorbent, absorbable","cost absorption 成本吸收
moisture absorption 吸濕","The absorption of the smaller company into the large corporation boosted their market share.
較小的公司被大企業併購後，提升了他們的市場佔有率。"
abstract,抽象的；概括的；不具體的；概念性的,3,進階,辦公日常,"adjective, noun","adjective: abstract, more abstract, most abstract
noun: abstract, abstracts",,"The report contains some abstract ideas that require further clarification.
這份報告包含一些需要進一步澄清的抽象概念。"
abundant,豐富的；大量的；充沛的,3,中階,營運管理,adjective,"adjective: abundant, more abundant, most abundant",,"The company has abundant resources to invest in new technologies.
公司擁有充足的資源來投資新技術。"
abundantly,充裕地；大量地；豐富地,3,進階,營運管理,adverb,adverb: abundantly,,"The company has resources abundantly available to support the new project.
公司擁有大量資源來支持新專案。"
abuse,濫用；不當利用；虐待（權力、資源等）,3,中階,人力資源,"verb, noun","verb: abuse, abuses, abusing, abused
noun: abuse, abuses","verbal abuse 言語霸凌
office policy 辦公室政策","The company has a strict policy against the abuse of company resources.
公司對公司資源的濫用有嚴格的政策。"
abused,遭受虐待或不當對待；被濫用（資源、權力等）,3,進階,人力資源,"verb, adjective","verb: abused, abuses, abusing
adjective: abused, more abused, most abused",,"The company is investigating allegations that employees were abused by a supervisor.
公司正在調查關於員工被主管虐待的指控。"
abusing,濫用；不當利用（資源、權力等）,3,進階,人力資源,verb,"verb: abusing, abuses, abused","abuse of power 濫用權力
abusing company resources 濫用公司資源","The company has a strict policy against employees abusing their expense accounts.
公司對員工濫用費用報銷帳戶有嚴格的政策。"
academic,與學術相關的；學術性的,4,中階,辦公日常,adjective,"adjective: academic, more academic, most academic","academic background 學術背景
academic institution 教育機構","The conference focused on academic research in the field of artificial intelligence.
這次會議的重點是人工智慧領域的學術研究。"
accelerate,加速；加快（速度、進度等）,4,中階,營運管理,verb,"verb: accelerate, accelerates, accelerating, accelerated",,"The company needs to accelerate its product development to stay competitive.
為了保持競爭力，公司需要加速其產品開發進度。"
acceleration,加速；促進,3,進階,一般專業,noun,noun: acceleration,"acceleration in economic growth 經濟成長加速
acceleration of the schedule 進度提前","The department implemented innovative acceleration procedures to improve operational efficiency.
部門實施創新的acceleration程序以提高營運效率。"
accent,口音；語調，指說話者所使用的方言或地區性語言特徵。,4,基礎,溝通互動,noun,"noun: accent, accents","strong accent 口音很重
slight accent 輕微口音","Despite his slight American accent, he speaks fluent Mandarin.
儘管他帶有一點美國口音，但他講流利的普通話。"
accept,接受；同意；答允,5,基礎,溝通互動,verb,"verb: accept, accepts, accepting, accepted",accept the terms and conditions 接受條款與條件,"The company will accept credit card payments from now on.
從現在開始，公司將接受信用卡付款。"
acceptable,可接受的；令人滿意的（通常指符合標準或期望）,4,基礎,辦公日常,adjective,"adjective: acceptable, more acceptable, most acceptable",,"The project proposal was deemed acceptable by the board of directors.
該專案提案已獲得董事會的批准。"
acceptance,接受；同意；批准,4,中階,辦公日常,noun,"noun: acceptance, acceptances","acceptance of an offer 接受提議
acceptance of terms and conditions 接受條款與細則","We are awaiting formal acceptance of the contract from the vendor.
我們正在等待供應商正式接受合約。"
accepted,被接受；同意；批准,5,基礎,辦公日常,adjective,"adjective: accepted, more accepted, most accepted","widely accepted 廣泛被接受的
accepted forms of payment 認可的付款方式","The proposal was accepted by the board of directors.
該提案已獲得董事會的批准。"
accepting,接受；同意；容納,4,基礎,溝通互動,"adjective, verb","adjective: accepting, more accepting, most accepting
verb: accepting, accepts, accepted","Now accepting applications 現正接受申請
accepting entries 接受參賽作品","The company is accepting applications for the marketing manager position until the end of the month.
公司將接受市場經理職位的申請，截止日期為本月底。"
access,存取；接近權限；進入權限,5,基礎,科技與技術支援,"noun, verb","noun: access, accesses
verb: access, accesses, accessing, accessed",,"Employees need to access the company's database to retrieve sales figures.
員工需要存取公司資料庫以取得銷售數據。"
accessibility,可及性，指產品、服務或環境能被所有人（包括身心障礙者）輕鬆使用和存取的程度。,3,中階,科技與技術支援,noun,"noun: accessibility, accessibilities","accessibility to public transport 大眾運輸的便利性
improve 改善","The company is committed to improving the accessibility of its website for users with disabilities.
公司致力於提升其網站的可及性，以方便身心障礙人士使用。"
accessible,易於取得或使用的；可進入的；可負擔的,4,中階,辦公日常,adjective,"adjective: accessible, more accessible, most accessible",,"The company website is designed to be accessible to users with disabilities.
該公司網站的設計旨在方便身心障礙人士使用。"
accessories,配飾；附加品（通常指服裝、包袋等用於裝飾或搭配的物品）,4,中階,行銷與銷售,noun,noun: accessories,"computer accessories 電腦配件
fashion accessories 時尚飾品","The boutique offers a wide range of accessories, including scarves, belts, and jewelry.
這家精品店提供各式各樣的配飾，包括圍巾、皮帶和珠寶。"
accessory,配件；附件；從犯；附屬的；輔助的,4,中階,一般專業,"noun, adjective","noun: accessories
adjective: ","computer accessories 電腦配件
fashion accessories 時尚配件","The store offers a wide range of car accessories, from seat covers to navigation systems.
這家商店提供各種汽車配件，從座套到導航系統一應俱全。"
accident,意外事故；意外事件，通常指造成損害或傷害的事件。,5,入門,法務合規與安全,noun,"noun: accident, accidents","by accident 偶然地
industrial accident 工安意外","The company is investigating the accident to determine the cause and prevent future incidents.
公司正在調查這起意外事故，以確定原因並防止未來發生類似事件。"
accidentally,不小心地；意外地（指因疏忽或未經意間發生的事情）,4,基礎,辦公日常,adverb,adverb: accidentally,,"I accidentally deleted the important file; I'm so sorry.
我不小心刪除了重要的檔案，我非常抱歉。"
acclaim,讚譽；好評；盛讚,3,進階,行銷與銷售,"verb, noun","verb: acclaim, acclaims, acclaiming, acclaimed
noun: acclaim, acclaims","critically acclaimed 深受好評的
exclaim 驚叫","The new product received widespread acclaim from industry experts.
這款新產品獲得了業界專家們的廣泛讚譽。"
accommodate,容納、適應、滿足（需求或要求）,4,中階,營運管理,verb,"verb: accommodate, accommodates, accommodating, accommodated",,"The hotel can accommodate up to 200 guests for the conference.
這家飯店可以容納最多 200 位嘉賓參加會議。"
accommodation,住宿；膳宿安排；（公司提供的）住宿福利,4,中階,住宿與餐飲,noun,"noun: accommodation, accommodations",,"The company provides accommodation and meals for all overseas employees.
公司為所有海外員工提供住宿和膳食。"
accommodations,住宿設施或提供的住宿服務，常指旅館、酒店或其他供應客人暫住的場所。,4,中階,住宿與餐飲,noun,noun: accommodations,,"The conference organizer arranged accommodations at a nearby hotel for all attendees.
會議主辦單位為所有與會者安排了附近飯店的住宿。"
accompanied,伴隨；隨同；與...同時發生,4,中階,溝通互動,verb,"verb: accompanied, accompanies, accompanying",the accompanying manual 隨附的手冊,"The sales representative was accompanied by a technical expert during the client meeting.
銷售代表在客戶會議期間與一位技術專家一同出席。"
accompany,陪伴；隨同；伴隨,4,中階,溝通互動,verb,"verb: accompany, accompanies, accompanying, accompanied",,"The marketing team will accompany the CEO on the business trip to Tokyo.
行銷團隊將陪同 CEO 前往東京進行商務旅行。"
accomplish,完成；達成（目標、任務等）,4,中階,辦公日常,verb,"verb: accomplish, accomplishes, accomplishing, accomplished",accomplish the project within the budget 在預算內完成專案,"The project team managed to accomplish all the objectives within the deadline.
專案團隊成功在期限內完成了所有目標。"
accomplished,（尤指在某方面）有成就的；技藝精湛的,3,進階,辦公日常,adjective,"adjective: accomplished, more accomplished, most accomplished","accomplishment 成就
accomplish 完成","The company is proud to have an accomplished sales team that consistently exceeds targets.
公司很自豪擁有一支技藝精湛的銷售團隊，他們始終能超越目標。"
accomplishment,成就；完成,4,中階,一般專業,noun,noun: accomplishment,"remarkable accomplishment 卓越的成就
sense of accomplishment 成就感","The department implemented innovative accomplishment procedures to improve operational efficiency.
部門實施創新的accomplishment程序以提高營運效率。"
accord,一致；協調；達成協議,3,進階,辦公日常,"noun, verb, adjective","noun: accord, accords
verb: accord, accords, according, accorded
adjective: accord, more accordant, most accordant",according to 根據,"The two companies reached an accord on the terms of the merger.
這兩家公司就合併條款達成一致。"
accordance,依照；符合；根據,3,進階,辦公日常,"preposition, adverb","preposition: accordance
adverb: accordance",,"The company operates in accordance with all relevant regulations.
公司依照所有相關法規運作。"
according,根據；依照；根據…的,5,基礎,辦公日常,"adverb, preposition",adverb: according,"according to the revised schedule 根據修改後的進度表
according to 介係詞片語","The project timeline is according to the client's specifications.
專案時間表依照客戶的規格。"
accordingly,相應地；根據地；適當地,4,中階,辦公日常,adverb,adverb: accordingly,,"The meeting was postponed until next week, and the project timeline was adjusted accordingly.
會議延遲至下週舉行，專案時程也相應地調整。"
account,帳戶；紀錄；說明；負責人,5,基礎,金融與會計,"noun, verb","noun: account, accounts
verb: account, accounts, accounting, accounted","take something into account 將某事考慮在內
accountant 會計師","The company needs to reconcile its bank accounts monthly.
公司需要每月對帳戶進行核對。"
accountability,責任制,3,進階,人力資源,noun,noun: accountability,"hold someone accountable for something 要求某人對某事負責
personal accountability 個人當責","The company's new accountability initiative exceeded expectations in the first quarter.
公司的新accountability計畫在第一季度超出了預期。"
accountable,負責；對...負責；可追溯的,3,進階,營運管理,"adjective, verb","adjective: accountable, more accountable, most accountable
verb: accountable, accounts, accounting, accounted",be held accountable for 為某事負責,"Each department is accountable for meeting its quarterly sales targets.
每個部門都需對達成季度銷售目標負責。"
accountant,會計師；負責公司財務帳務處理的人員。,5,基礎,金融與會計,noun,"noun: accountant, accountants",,"The company hired an accountant to manage their financial records.
公司聘請了一位會計師來管理他們的財務記錄。"
accounting,會計；指企業或組織對財務交易的記錄、分類、彙總與報告的系統與程序。,5,基礎,金融與會計,noun,"noun: accounting, accountings",,"The accounting department will finalize the quarterly financial statements by Friday.
會計部門將於週五完成本季財務報表的最終整理。"
accounts,帳戶；會計記錄；客戶群,5,基礎,金融與會計,noun,noun: accounts,"Accounts Payable 應付帳款
Accounts Receivable 應收帳款","The auditor will review the company's accounts to ensure accuracy.
審計師將審查公司的帳戶，以確保準確性。"
accredit,認證；核可（某機構或組織符合特定標準）,3,進階,營運管理,verb,"verb: accredit, accredits, accrediting, accredited","accredited institution 認可機構
accredited program 經鑑定合格的課程","The university is seeking accreditation from a recognized international body.
這所大學正在尋求從國際認可機構獲得認證。"
accrual,應計；應計項目；權責發生制,2,進階,金融與會計,noun,"noun: accrual, accruals
verb: accrue, accrues, accrued, accruing","accrual accounting 應計會計
vacation accrual 特休累積","The company reported a significant accrual for future warranty claims.
該公司報告了一筆用於未來保固索賠的巨額應計款項。"
accrue,累積；逐漸增加（通常指金額、利息、權益等）,3,進階,金融與會計,verb,"verb: accrue, accrues, accruing, accrued","accrue interest 累積利息
accrued expenses 應計費用","Interest will accrue on the outstanding balance if payment is not received by the due date.
如果未在到期日之前收到付款，未償餘額將產生利息。"
accumulate,累積；積累；逐漸增加,4,中階,金融與會計,verb,"verb: accumulate, accumulates, accumulating, accumulated",,"The company is trying to accumulate more capital to fund its expansion.
該公司正試圖累積更多資本以資擴張。"
accumulated,累積的；積累的；(費用、債務等) 累積的,3,中階,金融與會計,adjective,"adjective: accumulated, more accumulated, most accumulated",,"The company has accumulated a significant amount of debt over the past year.
過去一年，該公司累積了相當多的債務。"
accumulation,累積；積累；堆積,3,中階,營運管理,noun,"noun: accumulation, accumulations","wealth accumulation 財富累積
capital accumulation 資本累積","The company is experiencing a significant accumulation of inventory due to decreased sales.
由於銷售額下降，公司正經歷大量庫存積累。"
accuracy,精確度；準確性，指符合事實或標準的程度。,4,中階,辦公日常,"noun, adjective","noun: accuracy, accuracies
adjective: accuracy, more accurate, most accurate","ensure accuracy 確保準確性
improve accuracy 提高準確度","The report needs to be checked for accuracy before it's submitted to the board.
報告在提交給董事會之前，需要檢查其準確性。"
accurate,精確的；準確的；無誤的，符合事實的,4,基礎,辦公日常,adjective,"adjective: accurate, more accurate, most accurate",,"The report needs to be reviewed to ensure the data is accurate.
需要審閱報告以確保數據的準確性。"
accurately,精確地；準確地，尤其指在數據、報告或資訊方面,4,中階,辦公日常,adverb,adverb: accurately,"accurately reflect the current market trends 準確反映當前市場趨勢
accurately 強調結果正確無誤","The report needs to be updated to accurately reflect the current market trends.
報告需要更新，以準確反映目前的市場趨勢。"
accusation,控告；指控；譴責,3,進階,溝通互動,noun,"noun: accusations
verb: accuse, accuses, accusing, accused
adjective: accusatory","make an accusation against 對某人提出指控
deny an accusation 否認指控","The manager faced an accusation of unethical behavior.
經理面臨不道德行為的指控。"
accuse,指控；指責,3,中階,溝通互動,verb,"verb: accuse, accuses, accusing, accused",,"The company accused the supplier of delivering substandard materials.
該公司指控供應商交付了品質不佳的材料。"
accused,被指控；被控告,3,中階,法務合規與安全,"adjective, verb","adjective: accused, more accused, most accused
verb: accused, accuses, accusing",,"The former employee was accused of leaking confidential company data.
這位前員工被指控洩漏了公司的機密數據。"
accustom,使習慣於；使適應,3,中階,一般專業,"verb, adjective","verb: accustom, accustoms, accustomed, accustoming
adjective: accustomed",,"It takes time to accustom yourself to a new working environment.
習慣新的工作環境需要時間。"
accustomed,習慣於；適應於,3,進階,辦公日常,adjective,"adjective: accustomed, more accustomed, most accustomed",,"Our team is accustomed to working long hours during peak season.
我們的團隊習慣在旺季工作長時間。"
achievable,可實現的；可達成的,4,中階,辦公日常,adjective,"adjective: achievable, more achievable, most achievable",achievable goals 可達成的目標,"The company set an achievable sales target for the new quarter.
公司為新季度設定了一個可實現的銷售目標。"
achieve,達成；實現（目標、成就）,5,基礎,營運管理,verb,"verb: achieve, achieves, achieving, achieved",,"The company aims to achieve a 15% increase in sales this quarter.
本公司本季目標達成 15% 的銷售額增長。"
achievement,成就,4,中階,人力資源,noun,noun: achievement,"outstanding achievement 傑出成就
a sense of achievement 成就感","The company's new achievement initiative exceeded expectations in the first quarter.
公司的新achievement計畫在第一季度超出了預期。"
achiever,績效達成者；有成就者，通常指在工作或學業上表現出色的人。,3,中階,人力資源,noun,"noun: achiever, achievers","high achiever 成就卓越的人
achieve 動詞","Our company seeks to identify and recruit high-potential achievers.
我們公司致力於識別並招募具有高潛力的績效達成者。"
achieving,達成；實現；完成（目標、成就等）,4,基礎,營運管理,"verb, adjective","verb: achieving, achieves, achieved
adjective: achieving, more achieving, most achieving",,"The company is focused on achieving its sales targets for the quarter.
公司專注於實現本季的銷售目標。"
acid,酸；酸性的,2,中階,一般專業,"noun, adjective","noun: acid, acids
adjective: acid","acidic 酸性的
acidity 酸度","The chemical solution turned blue litmus paper red, indicating it was an acid.
化學溶液使藍色石蕊試紙變紅，表示它是一種酸。"
acidic,酸性的；酸的,2,進階,一般專業,adjective,"adjective: acidic, more acidic, most acidic
adverb: acidically
noun: acidity","acidic soil 酸性土壤
acidic solution 酸性溶液","Lemon juice is highly acidic and can be used to clean some surfaces.
檸檬汁的酸性很強，可以用來清潔一些表面。"
ackerman,阿克曼法（Ackerman method）是一種用於計算齒輪傳動比的公式，主要應用於工程設計。,1,精熟,營運管理,noun,"noun: ackerman, Ackermans",,"The engineer used the Ackerman formula to determine the optimal gear ratio for the new machinery.
這位工程師使用阿克曼法來確定新機器所需的最佳齒輪傳動比。"
acknowledge,承認；認可；表示理解,4,中階,溝通互動,verb,"verb: acknowledge, acknowledges, acknowledging, acknowledged","s contribution 認可某人的貢獻
acknowledge the problem 承認問題存在","The manager acknowledged the team's hard work and dedication to the project.
經理肯定了團隊為專案付出的辛勤工作和奉獻精神。"
acknowledging,表示理解、同意或接受某事；認可,4,中階,溝通互動,verb,"verb: acknowledging, acknowledges, acknowledged",,"The company acknowledged the customer's complaint and offered a full refund.
公司已承認客戶的投訴，並提供全額退款。"
acquaint,使…熟悉；使…認識（某人或某事）,3,進階,溝通互動,verb,"verb: acquaint, acquaints, acquainting, acquainted",,"The new employee needs to be acquainted with the company's policies and procedures.
這位新進員工需要熟悉公司的政策和流程。"
acquaintance,認識的人，熟人（但不深交）,3,進階,溝通互動,noun,"noun: acquaintance, acquaintances","make the acquaintance of someone 初次結識某人
a business acquaintance 生意上的熟人","I have a few acquaintances in the marketing department, but I don't know them very well.
我在行銷部門有一些熟人，但我不認識他們很熟。"
acquire,獲得；取得（通常指透過努力或購買）,4,中階,辦公日常,verb,"verb: acquire, acquires, acquiring, acquired",,"The company aims to acquire a new software license to improve operational efficiency.
公司計畫購買新的軟體授權，以提高營運效率。"
acquired,獲得的；後天學得的；取得的,4,中階,辦公日常,adjective,"adjective: acquired, more acquired, most acquired","acquired company 被收購的公司
newly acquired assets 新購得的資產","The company has acquired a reputation for excellent customer service.
該公司已獲得良好的客戶服務聲譽。"
acquisition,收購；取得；獲得（通常指企業或資產）,3,進階,營運管理,noun,"noun: acquisition, acquisitions",,"The company announced the acquisition of a smaller competitor to expand its market share.
該公司宣布收購一家規模較小的競爭對手，以擴大其市場份額。"
acre,英畝（土地面積單位）,2,中階,物業與不動產,noun,noun: acres,,"The farm spans over 100 acres of land.
這農場佔地超過100英畝。"
across,橫跨；穿過；在...的另一邊,5,入門,溝通互動,"preposition, adverb",,"across the industry 全業界
across the globe 全球","The new bridge will allow employees to walk across the street to the office building.
新的橋樑將允許員工橫過馬路前往辦公大樓。"
act,行動；行為；扮演（角色）,5,入門,辦公日常,"noun, verb","noun: act, acts
verb: act, acts, acting, acted","act as a liaison 擔任聯絡人
take action 採取行動","The company is taking swift action to address the recent data breach.
公司正迅速採取行動以應對最近發生的資料外洩事件。"
acting,表演；演出（通常指戲劇、電影等）,4,中階,溝通互動,"noun, verb","noun: acting, actings
verb: acting, acts, acted",,"The company hired an acting coach to improve the team's presentation skills.
公司聘請了一位表演老師來提升團隊的簡報技巧。"
action,行動；為解決問題或達成目標而採取的具體措施或步驟，常用於商務環境中。,5,基礎,營運管理,"noun, verb","noun: action, actions
verb: action, actions, actioning, actioned","take action 採取行動
corrective action 矯正措施","The project manager outlined the next actions required to meet the deadline.
專案經理說明了為了趕上截止日期所需採取的下一步行動。"
activate,啟動；啟用；使生效,4,基礎,科技與技術支援,verb,"verb: activate, activates, activating, activated",,"Please activate your account by clicking the link in the confirmation email.
請點擊確認郵件中的連結以啟用您的帳戶。"
activated,啟動；啟用；使生效,4,基礎,科技與技術支援,"verb, adjective","verb: activated, activates, activating
adjective: activated, more activated, most activated","activated account 已啟用的帳戶
activated credit card 已開通的信用卡","The security system was activated by the motion sensor.
運動感應器啟動了安全系統。"
activation,啟動；激活；觸發,4,中階,科技與技術支援,noun,"noun: activation
verb: activate, activated, activating","account activation 帳戶啟用
software activation 軟體啟動","Please follow the instructions for product activation after installation.
請按照說明在安裝後完成產品啟動。"
active,積極的；活躍的；正在運作的,5,基礎,辦公日常,"adjective, verb","adjective: active, more active, most active
verb: active, activates, activating, activated","take an active role in something 在某事中扮演積極角色
be an active participant 作為積極參與者","The company is actively seeking new markets to expand its business.
該公司正積極尋找新的市場以擴展其業務。"
actively,積極地；活躍地；主動地,5,基礎,一般專業,adverb,"adverb: actively
adjective: active
verb: act, acts, acted, acting
noun: activity, activities, act, acts","actively seeking 積極尋找
actively involved in 積極參與","The company is actively seeking new talent to join its team.
該公司正積極尋找新人才加入其團隊。"
activist,社運人士；行動主義者,2,進階,一般專業,noun,"noun: activist, activists",,"The environmental activist campaigned for stricter pollution controls.
這位環保社運人士呼籲實施更嚴格的污染控制。"
activities,活動；事務；業務,5,基礎,辦公日常,noun,noun: activities,"outdoor activities 戶外活動
business activities 商務活動","The company organizes team-building activities to improve employee morale.
公司組織團隊建設活動以提升員工士氣。"
activity,活動；事務；業務,5,基礎,辦公日常,noun,"noun: activity, activities","outdoor activities 戶外活動
economic activity 經濟活動","The company organized a team-building activity to improve employee morale.
公司組織了一項團隊建設活動以提升員工士氣。"
actor,演員；表演者（通常指電影、電視或舞台上的）,5,入門,行銷與銷售,noun,"noun: actor, actors","voice actor 配音員
lead actor 主角","The company hired a well-known actor to endorse their new product.
該公司聘請了一位知名的演員來代言他們的新產品。"
actress,女演員；表演電影、電視或舞台的女性。,1,入門,行銷與銷售,noun,"noun: actress, actresses","lead actress 女主角
supporting actress 女配角","The company hired a famous actress to endorse their new product line.
該公司聘請了一位知名女演員來代言他們的新產品線。"
acts,行為；作為；行動,4,基礎,辦公日常,"noun, verb","noun: acts
verb: acts, acting, acted",,"The company's actions demonstrated a commitment to environmental sustainability.
該公司的行為展現了對環境永續發展的承諾。"
actual,實際的；真實的；現實的,5,基礎,辦公日常,adjective,"adjective: actual, more actual, most actual",,"The actual cost of the project exceeded the initial budget by 15%.
專案的實際成本比最初預算高出 15%。"
actually,實際上；原來；事實上（用於強調或修正之前的說法）,5,入門,溝通互動,adverb,adverb: actually,"currently 目前
actually need 真的需要","Actually, the project deadline has been extended to next Friday.
實際上，這個專案的截止日期已經延遲到下週五。"
acute,急性的；嚴重的；敏銳的（指疼痛、問題或情況）,3,進階,辦公日常,adjective,"adjective: acute, more acute, most acute","an acute shortage of skilled labor 技術勞工嚴重短缺
acute observation 敏銳的觀察","The company is facing an acute shortage of skilled labor.
公司正面臨嚴重的技術人才短缺。"
ad,廣告（advertisement 的縮寫）,5,基礎,行銷與銷售,noun,"noun: ad, ads","place an ad 刊登廣告
classified ads 分類廣告","We need to run an ad in the local newspaper to promote our new product.
我們需要在當地報紙上刊登一則廣告來推廣我們的新產品。"
adapt,適應；調整；使符合,4,中階,營運管理,verb,"verb: adapt, adapts, adapting, adapted",,"The company needs to adapt its marketing strategy to the changing market trends.
公司需要調整其行銷策略以適應不斷變化的市場趨勢。"
